issn,Gold,Wikipedia,Internet,ZDB,abbr
0943271X,,,,1587,
03423476,,105,491,745,ZLR
0947871X,,,,962,
0947501X,,,,709,
21941440,,,,757,
03406709,,,,1044,
09484396,,,549,499,ZöR
01719181,,,,452,
29426049,,,,789,
0174478X,,,,674,
18666582,,,,891,
16189108,,,,929,
14346354,,70,252,631,K&R
02325993,,,,538,
23662247,,,433,,VergabeR
14330261,,,,1128,
16171802,,,89,1354,ITRB
01712365,,,,1628,
21919658,,,,655,
16196244,,,,597,
14396351,,99,302,,NZBau
21925593,,111,503,,ZD
14356422,,,,1088,
16131096,,,420,,SVR
01788930,,7,357,512,RDV
05583624,,,,678,
1861759X,,,,1527,
27004627,,,8,,ANA-ZAR
16128117,,,286,,MIP
10284656,30,,,,
01779303,,,144,511,"EWiR, EWIR"
14368137,,,,1193,
01713051,,,,316,
07231822,,,,607,
21921784,,,,313,
27495728,,,,1275,
29419603,,,432,207,VRÜ
23662042,,,471,844,"ZfA, ZFA"
0404603X,,,,351,
23654554,,,,1178,
27488705,,,58,,CB
08630836,,,,1443,
23665866,,,,1095,
23652845,,,,1395,
09331212,,,,1550,
21929785,,,,1065,
09306420,,66,170,623,FoR
09320911,,,,1099,
21952833,,,306,,NZKart
23652004,,,533,,IWRZ
25694103,,,216,,JöR
2365449X,,,,1110,
14364778,,,305,767,NZI
14331500,,,,1127,
21930465,,,,1273,
14338300,,,,493,
09322256,,,,1244,
09457615,,,,1248,
16170253,,,,417,
00226920,43,40,240,785,JR
23671211,,,,1093,
14390515,,,293,,NuR
14373084,,,,1276,
04337131,,,,586,
21918074,,,597,,ZERL
09370641,,,,1520,
00299529,,,332,,ÖStZ
16118960,,,460,,Wussow-Informationen
27023303,,,,691,
16617673,,,,1505,
0172049X,,102,453,,WRP
01708724,,,,1100,
04709233,,,,1404,
21945829,,,137,,ER
00666505,,,24,,AfS
09349685,,,,136,
16189582,,,206,,IIC
16127013,,,564,,ZSE
01777068,,,,360,
2365287X,,,,74,
01715941,,,,1607,
09417648,,,425,65,ThürVBl
14306387,,,554,,ZPol
03423468,42,41,609,497,ZZP
1862443X,,,,1072,
07227280,,,,1655,
2367122X,,,,1504,
23666463,,,,1190,
25092413,,,,1565,
23671203,,,,1078,
05430194,,,,913,
18626718,,,,126,
03449440,,,,1216,
07233086,,,,106,
23653469,,,,1173,
03423182,,,120,,Bank
09474358,,,300,,NL-BzAR
23672684,,,,896,
05142784,,,576,,ZfV*
03439496,,,112,601,DVP
01792776,,,46,946,Betrifft Justiz
09391916,,,,83,
1430709X,,,,580,
18652050,,,,1222,
00289779,,,,1052,
01737767,,6,74,,DANA
23652705,,,,1453,
26988887,,,296,,NJOZ
01748092,,,,921,
00226904,18,,237,749,JA
07208162,,,30,,Aufsichtsrat
1612040X,,,280,,MRB
03447634,,,,1667,
18617425,,,,254,
18613969,,,,1358,
23665920,,,,1289,
16108140,,,287,,KammerForum
29604168,,,,698,
0013743X,,,138,,et
18652301,,,291,,myops
23654619,,,,1105,
09492844,,,108,464,Deutsche Polizei
04507169,,,,1670,
02326361,,,,1650,
00057142,,,,559,
16170938,,,,954,
23661496,,,584,,ZWH
07216963,,,96,,Personalrat
21944202,6,,288,93,MDR
05819792,,,,165,
14396777,,,100,,"UStB, UstB"
00258490,,139,93,692,MedSach
27880818,,,,472,
23665726,,,,1067,
18688810,,,226,,JoJZG
21965021,,,,895,
0720924X,,,,892,
16127803,,,203,,IR
21994390,,,,944,
00143529,,,,454,
14203588,,,,1438,
01702440,,,441,,VersPrax
07235577,,,,1487,
14345196,,,376,159,RechtsMed
23078545,,,,1414,
23640820,,,,1304,
18661696,,,105,431,DJZ
09331123,,,,1397,
00714674,,,,707,
01713272,,,,1460,
0176750X,,,,854,
00169153,,,,897,
2700726X,,,,1270,
05142571,,19,478,,ZBR
09434011,,,228,643,JRP
09399755,,,,210,
18660428,,,,1600,
16609077,,,,1246,
00012947,,,34,,AWR-Bulletin
16127048,3,,571,,ZGR
09383050,,77,148,,EWS
07225059,,,,690,
14337428,,,,744,
16611659,,,,922,
23665823,,,,1393,
1434677X,,96,307,,NZM
27022404,,,366,,RDi
25664840,,,204,,IILR
18605265,,,,1663,
0340840X,,,0,716,AUR
00807060,,,,1311,
09460055,,,,195,
16084535,,,,756,
25092634,,,,1463,
23665270,,,,338,
25102443,,,,1409,
18685757,,,,379,
23669284,,,,940,
01706446,,,,317,
21923639,,,,489,
07207271,,,,377,
14202395,,,262,,LeGes
23671238,,,,1170,
18664431,,,,705,
23044896,26,,,1551,
09415750,,,198,,IBR
0343835X,,,,1626,
09489835,,,,77,
25103261,,,,1580,
03401995,,,,1416,
18667600,,,,160,
09383492,,,,1265,
00424501,1,,444,761,"VerwA, VerwArch"
21988994,,,,969,
2513003X,,,,1048,
23670509,,,,1661,
07225962,,,,1204,
21957304,,,174,,GYIL
01740202,,143,558,813,ZfRsoz
25096257,,,,1355,
09358129,,,,1533,
03407926,,76,361,795,RIW
16129229,,,525,,GPR
09429247,,,282,,VDRW-Mitteilungen
04056779,,,47,1612,BewHi
14236982,,,,1034,
18641261,,,,1212,
09475052,,,,964,
00444278,,,,320,
09367438,,,,706,
1612863X,,,,582,
09341439,,,,953,
07226438,,,,600,
18661343,,,,1522,
16112296,,,90,,"Konzern, DK"
18674186,,,385,783,RNotZ
03448738,,,103,1087,DWE
00032336,,,,169,
05182220,,,,479,
04270207,,,,280,
23669349,,,,1457,
23651326,,,,1131,
29411149,,,277,981,MRM
18697976,,,64,,CFL
01766023,,,,1436,
01700413,,132,599,773,ZfBR
01738887,,,,519,
01706462,,,,634,
16132882,,,,478,
00039160,,112,19,615,AfkKR
0342197X,,87,140,357,BFHE
09315802,,,,1589,
18663850,,,,285,
00675237,,,,1539,
23666749,,,362,209,RdJB
16615751,,,,249,
04055179,,,,272,
21995052,,,227,,KUR
21929564,,,,1419,
21952841,,,493,,EnWZ
23662069,,,544,,ZMR
00341363,,,377,763,RpflBl
18691838,,,,1076,
05090717,,,595,770,WuM
25093568,,,,1371,
07244711,,,562,332,ZfSH/SGB
09369511,,,,590,
23671378,,,,1341,
01760912,,,,1314,
03403939,,55,479,66,ZfB
27474682,,,,1394,
00443638,,79,574,1691,ZVglRWiss
14382288,,,268,,"MarkenR, markenr"
00151440,,,,191,
16127684,,,,1578,
23654481,,,,1069,
23654600,,,,1210,
14399474,,,,424,
18655564,,,,350,
25096311,,,,1189,
07223358,,,,286,
03408760,,,,818,
09482350,,,,986,
03430219,,,,1169,
08635005,,,143,,RGSt
1438468X,22,,184,,GmbHR
05251710,,,,197,
27008924,,,,649,
01712675,,,,225,
00032131,,,,558,
03410714,,,,549,
23668245,,,,1303,
09404902,,,,26,
03433757,,,,1516,
1619649X,,,,740,
23662174,,,426,,TranspR
01791737,,,,223,
00752886,,,,817,
04026802,,,,117,
25100289,,,,1301,
09432728,,,,1542,
23662883,,,,321,
25099167,,,,182,
16111915,0,,,,
07206100,,,,292,
21944180,,,428,,UR
09451196,,,112,601,DVP
27495264,,,,1372,
1864922X,,,,201,
0323505X,,,,20,
0941696X,,,,1545,
00432059,,,451,536,WzS
14379287,,,,1620,
16190041,,,,1083,
23668415,,,,1196,
01715704,,,,492,
27015394,,,,135,
23652802,,,,1617,
0172942X,,,,233,
04027841,,,,441,
16163192,,,,609,
0932321X,,,,806,
21929580,,,,1144,
14355078,,,,240,
07231814,,,,242,
09431462,,61,128,,SGb
23662166,23,,418,837,StV
09481478,,,,347,
01739794,,,393,57,SchlHA
00367613,,,396,784,SJZ
02506459,,,545,,ZNR
09373438,,,,251,
09322671,,,,603,
09439609,,,,775,
16174704,,,,1233,
18664415,,69,267,,Marburg Law Review
16126297,,,588,,ImmoStR
18698735,,,,1578,
16166558,,,215,,JbFöderalismus
09447490,,,383,,RRa
09424571,,,31,355,AuAS
2625686X,,,,45,
04352041,,,,376,
0178966X,,,,1680,
25095269,,,,875,
14306123,,,,79,
09402152,,,,685,
18627617,,,197,,HuFR
07244371,,1,,112,
21913595,,,176,,GuP
01381695,,,,474,
01764411,,,,1021,
01736930,,,,1511,
25102362,,,,1281,
09404848,,,,1161,
01780689,,,379,322,RÜ
26998270,,,,1238,
18604048,,,,1007,
21967121,,,449,,VfZ
21909695,,,251,,KommP Wahlen
18699340,,,,930,
23639199,,,227,,KUR
01740326,,,,398,
23653671,,,,877,
03438600,,,,1094,
25130463,,,433,37,VergabeR
03012980,,,,198,
16147405,,,,1586,
21935599,,,,1420,
2510246X,,,,1224,
14338696,,,168,,FF
1613754X,,,228,840,JRP
29423589,,,520,141,ZEuS
18680763,,,,556,
01381644,,,,39,
18660754,,,,730,
07227574,,,,778,
0525549X,,,,243,
23652829,,,,1605,
25688855,,,,56,
07201753,15,13,309,,NStZ
04861469,,,363,152,RdL
18625533,,,532,,IRZ
04494393,,,,1092,
03439771,,,371,713,r+s
03403653,,,123,,Gemeinde [SH]
04909658,,,129,,Stbg
05317312,,,,76,
09407286,,,311,,NVwZ
0944128X,,,358,704,RdE
09383891,,,379,,RÜ
00299634 (1946),,,,620,
0084540X,,,561,1690,ZSR
07207794,,,,25,
18609260,,,,888,
1867237X,,,524,,ZGE
01727079,,,,776,
23641355,,,378,330,RphZ
14326973,,,87,,"GmbHStB, GmbH-StB"
25095307,,,,1145,
18644309,,,,800,
16104404,,,,1540,
2363863X,,,,231,
25108379,,,,1309,
18689728,,,,694,
09389288,,,,780,
00442127,,,468,640,ZBJV
21969817,,,352,,PinG
00283231,,8,298,486,NJ
18677142,,,,1541,
07206585,,46,349,,IPRax
01755692,,,,1499,
00752517,,23,216,619,JöR
23665343,,,,1584,
04471806,,,,1486,
04401492,,,,266,
16194993,,,374,,Rg
03411907,20,,297,1622,NJW
25673823,,,495,,GSZ
05691427,,,,1365,
23669659,,,,858,
00121347,17,,116,,DStR
07206704,,,,1645,
00424498,38,38,133,,"VERW, Verwaltung, DV"
18668690,,,412,,StC
25100246,,,,1090,
00127019,,,,560,
16197003,,,522,,"ZFE, EF-Z"
16162277,,,183,,GRUR-RR
09348239,,,,361,
25103202,,,,1474,
16137639,,,239,1006,JBl
2625719X,,,,393,
00341312,,,362,,RdJB
21923280,,,,1085,
21943370,,,,1278,
14350998,,,,276,
2366097X,0,,119,,AG
01759299,,,96,548,Personalrat
21933308,,,480,,BPUVZ
18661025,,,,1378,
2365127X,,,,881,
23671432,,,,1174,
03420817,,,122,,BKK
04871057,,,,870,
2366195X,,,201,,"InfAuslR, IAR"
01792830,27,122,259,1272,KritV
14319055,,,,268,
09361731,,,,906,
26289121,,,223,,JRE
01760661,,,,170,
16124871,,,,983,
03769453,,,,522,
1434338X,,,,1316,
03413888,,,39,,Br
23665394,,,,1452,
14355361,,,68,,Hauseigentum
25670557,,,,375,
00064491,,,,1051,
14371596,,,,156,
00075868,,,,746,
27012131,,,,1373,
0012057X,,,,1652,
23660651,34,,117,190,DVBl
02549441,,,,28,
21929823,,,,1383,
23653531,,,,920,
16109376,,,1,,AbfallR
2366200X,,,489,445,ZInsO
16184726,,,556,,ZRph
21935645,,,,871,
04878213,,,29,,ASDA-Bulletin
25099116,,,,1113,
03403149,,,,1203,
25665758,,,,1366,
01771108,,,,8,
25672754,,,233,,JuWiss
25117599,,,,1323,
00729590,,,,1439,
04238346,,,,1187,
00199303,,,,814,
0049223X,,,99,,StB
23653639,,,,1421,
23637595,,,124,,ZMV
14347970,,,10,,APR
26293684,,,,1679,
25099175,,,,1356,
14331357,,,,1574,
26981769,,,,952,
09408428,,,,1557,
03447960,,,,318,
09435344,,,,302,
09324569,,,231,,JITE
1619389X,,,,1120,
18673201,,,,989,
00048232,,,44,,AWD
09387145,,,,1183,
21952337,,,505,,W+B
01728563,,,,1664,
21955743,,,589,,InTeR
25098535,,,,1412,
18661637,,,,1392,
18692435,,,415,,SteuK
14352206,,10,550,,NordÖR
2942058X,,,404,,SR
16111095,,59,265,,LMK
23668296,,,,1025,
09377204,28,,147,,EuZW
09438181,,,,821,
01707620,,,416,787,StX
09480471,,,,325,
1619439X,,,,1433,
09357963,,,,959,
07245637,,,111,517,DStZ
10286780,,,,1039,
23665246,,,,383,
21994323,,,542,,medstra
16140974,,,161,,FA
16132548,,,150,,ECFR
23671319,,,,1408,
00807249,,,,149,
00341339,,,367,1681,RiA
25099213,,,,1242,
09479252,31,,419,,StraFo
23646055,,,,1225,
16100468,,,202,551,IÖD
09487301,,,,82,
07232233,,,,600,
16176561,,,,1367,
03435733,,,28,500,ArztR
10178147,,,,28,
16121368,,,,1211,
1864693X,,,,1379,
01777270,,,,743,
23654503,,,,55,
18660894,,,,95,
27004228,,,,1243,
23654511,,,,463,
16159063,,,118,1164,DPJZ
00299251,,,329,,ÖJZ
16183835,,,,656,
25103180,,,,1468,
18639658,,,134,,WPg
00442429,,,487,,ZfgG
2367167X,,,,1313,
21927340,,,,1502,
09481850,,,4,,AktStR
1432461X,,,530,,KTS
18660991,,,,1524,
17290732,,,,450,
01791982,,,,1219,
05820227,,,,1677,
03447871,,81,369,84,RuP
01790498,,,49,,BFH/NV
0170639X,,,,275,
21904251,,,199,,IMR
05616271,,,,1129,
03004627,,,,822,
01702815,,,,553,
03426106,,,,293,
05391512,,,,409,
27026507,,,,1567,
00443662,,,575,,ZVR
01748467,,,,738,
03405753,,,,905,
22960112,,,,180,
29423368,,,372,,RuZ
18679072,,,,610,
14350963,,,368,,RiAf
14353059,,,,799,
21929483,,,,1218,
27502767,11,,145,,EuGRZ
23661054,,,,99,
29424887,,,354,585,R&P
09374876,,,,438,
23636270,,,368,1489,RiAf
23652888,,,,1297,
00058238,,,,810,
05589118,,,,1271,
01706039,,,,688,
18656277,,,527,,HRRS
29402093,,,97,,"DS, Sachverständige"
07222181,,,,193,
09433929,32,35,598,,ZEuP
09422390,,29,41,1182,BtPrax
04050495,,,,1055,
1861986X,,,,161,
27492753,,,,162,
21951179,,,276,,MwStR
2192306X,,,,157,
09423974,,,,911,
04086953,,,,1405,
09462988,,,,1336,
03413268,,,,867,
09480587,,,470,,"ZARG, ZAR"
18623336,,,,1226,
2702184X,,,,575,
18660746,,,,728,
18654770,,,,232,
23669306,,,,1177,
14372037,,,,1450,
18615023,,,,760,
16137663,,,549,257,ZöR
14391449,,,,880,
16177223,,,476,546,BKR
16137655,,,,343,
14303868,,,,900,
07222351,,,,836,
00037664,,,,531,
16145674,,,,1109,
07231830,,,,382,
25130110,,,,1575,
03422429,,,442,,VersR
00234834,7,9,257,790,KJ
03408965,,,,717,
25102303,,,,1172,
27011313,,,,1654,
07202407,,141,445,,VBlBW
18699367,,,499,,öAT
0342894X,,,,1555,
03423379,,101,485,762,ZfF
09304460,,,,828,
25103334,,,,1364,
21958912,,,427,,UVR
23668318,,,,1130,
16133919,,84,566,,StoffR
03421945,30,58,356,629,RdA
26283379,,,,289,
07223501,,,91,802,Kriminalist
01724770,,,,67,
29420601,,,,1045,
18608760,,,319,611,Notar
00120618,,,109,1685,DRV
09484396 (1996),,,,499,
16192907,,,,284,
25689800,,,,999,
16171527,,121,89,,ITRB
25692852,,,589,,InTeR
18658245,,,,573,
14342901,,,,1232,
29423511,,,21,,UFITA
03406911,,,,805,
00171956,45,,186,797,"GA, GoltdA"
18697100,,,364,,RdTW
01706888,,,,1422,
29421624,,,299,,NK
18660983,,,,1307,
00032298,,,,696,
08632340,,,,192,
09426744,,,210,,"IStR, iStR"
0042384X,,,,514,
23666595,,,,848,
21913838,,106,360,513,RdFin
26295040,,,,1176,
21944172,37,,61,395,CR
27005410,,,,122,
16171063,,,433,374,VergabeR
21971862,,,352,,PinG
04875311,,,,115,
23638036,,,380,,RÜ2
00443735,,,579,,ZFW
09453873,,,407,,SpuRt
21929467,,,,1476,
03234142,26,,463,742,ZRG-KA
1614614X,,,2,,AL
01765159,,,,1184,
23661941,,,70,,JurBüro
18683770,,,501,,npoR
16196155,,,,339,
01706470,,,,627,
1866038X,,,,1494,
16120523,,,,1103,
21921253,,,,858,
27520668,,,,1053,
16127064,43,,240,766,JR
10225625,,,,288,
03423484,,,587,405,ZfZ
07237022,,,,708,
29423198,2,,149,241,EuR
1433884X,,,,1662,
21939535,,,383,282,RRa
09457097,,,392,,"SchAZtg, SchiedsAZ"
18661017,,,,1507,
09389636,,,,1615,
18628702,,,484,,ZCG
18660150,,,,1514,
00717657,,,,1665,
14223481,,,,142,
00139106,,,,741,
14379112,,,83,,"EStB,ErtrStB"
09336486,,,218,33,JbUTR
00333964,,,,137,
04189604,,,,529,
16119231,,,,1022,
23665408,,,,504,
18660118,,,,1540,
21944164,,,59,391,CRi
03083136,,,,140,
21965048,,,,899,
07226918,,,,211,
21944199,,,245,,KSzW
00815519,,,411,,StbJb
09338012,,,,130,
16101197,,123,178,,GesR
14220709,,,402,114,ZB
09467483,,,,381,
04247019,,,,1344,
25674439,,,53,,BLJ
2509629X,,,,1195,
25701061,,,429,624,UPR
21953821,,,,1296,
00121231,,82,115,666,DAR
09472045,,,158,,FPR
18631169,,,,179,
07207336,,,490,,Kreditwesen
18622860,,,346,,PVS
23664312,,,,1091,
25113666,,,607,1151,ZLVR
16127692,,,,1578,
15736512,,,33,,ARIEL
21951969,,,,725,
01721895,,,,1,
14356090,,,,1070,
18145590,,,,1608,
29423295,7,,257,455,KJ
21901503,,,249,,KKZ
14383292,,,164,,FR-Ertragssteuerrecht
18687059,44,,353,889,RabelsZ
00120413,,,106,,DLR
14348993,,,238,,JURA
00162779,,,,1066,
18677894,,,,151,
14369850,,,,378,
18673546,,,48,,BewertungsPraktiker
25100173,,,,174,
29408210,,,135,,DivRuW
21908168,,,588,,ImmoStR
21930724,,,,1583,
2192788X,,,,859,
21917981,,,,684,
09485341,,,,1523,
10229450,,,518,,EuZ
01706713,,,,133,
22357106,,,401,,SJKR
14331470,,,,1257,
