"abk","pubyear","journal_impact_factor"
AcP,2000,0.03
AcP,2001,0.00
AcP,2002,0.02
AcP,2003,0.02
AcP,2004,0.05
AcP,2005,0.02
AcP,2006,0.17
AcP,2007,0.16
AcP,2008,0.07
AcP,2009,0.07
AcP,2010,0.05
AcP,2011,0.04
AcP,2012,0.18
AcP,2013,0.08
AcP,2014,0.05
AcP,2015,0.00
AcP,2016,0.02
AcP,2017,0.20
AcP,2018,0.19
AcP,2019,0.06
AcP,2020,0.26
AcP,2021,0.01
AcP,2022,0.08
AcP,2023,0.17
AG,2000,
AG,2008,0.00
AG,2009,0.04
AG,2010,0.07
AG,2011,0.05
AG,2012,0.05
AG,2013,0.02
AG,2014,0.02
AG,2015,0.02
AG,2016,0.00
AG,2017,0.02
AG,2018,0.00
AG,2019,0.01
AG,2020,0.00
AG,2021,0.01
AG,2022,0.01
AG,2023,0.01
AöR,2000,0.04
AöR,2001,0.07
AöR,2002,0.14
AöR,2003,0.02
AöR,2004,0.02
AöR,2005,0.09
AöR,2006,0.09
AöR,2007,0.03
AöR,2008,0.03
AöR,2009,0.05
AöR,2010,0.07
AöR,2011,0.07
AöR,2012,0.08
AöR,2013,0.16
AöR,2014,0.12
AöR,2015,0.10
AöR,2016,0.04
AöR,2017,0.09
AöR,2018,0.11
AöR,2019,0.32
AöR,2020,0.22
AöR,2021,0.11
AöR,2022,0.17
AöR,2023,0.12
AVR,2001,0.00
AVR,2002,0.00
AVR,2003,0.07
AVR,2004,0.13
AVR,2005,0.04
AVR,2006,0.07
AVR,2007,0.09
AVR,2008,0.10
AVR,2009,0.08
AVR,2010,0.38
AVR,2011,0.17
AVR,2012,0.08
AVR,2013,0.10
AVR,2014,0.10
AVR,2015,0.16
AVR,2016,0.22
AVR,2017,0.10
AVR,2018,0.07
AVR,2019,0.08
AVR,2020,0.18
AVR,2021,0.15
AVR,2022,0.13
AVR,2023,0.12
BB,2001,0.00
BB,2002,0.00
BB,2003,0.14
BB,2004,0.83
BB,2005,0.40
BB,2006,0.29
BB,2007,0.25
BB,2008,0.33
BB,2010,0.20
BB,2011,0.00
BB,2012,0.14
BB,2013,0.20
BB,2014,0.00
BB,2015,0.00
BB,2016,0.13
BB,2017,0.00
BB,2018,0.25
BB,2020,
CR,2000,0.00
CR,2001,0.00
CR,2002,0.50
CR,2004,0.00
CR,2005,0.00
CR,2006,0.00
CR,2007,0.02
CR,2008,0.05
CR,2009,0.04
CR,2010,0.03
CR,2011,0.02
CR,2012,0.02
CR,2013,0.02
CR,2014,0.02
CR,2015,0.03
CR,2016,0.03
CR,2017,0.06
CR,2018,0.05
CR,2019,0.03
CR,2020,0.04
CR,2021,0.02
CR,2022,0.03
CR,2023,0.05
DVBI,2000,0.00
DVBI,2003,
DVBI,2005,0.00
DVBI,2006,0.00
DVBI,2007,0.00
DVBI,2008,0.00
DVBI,2009,0.00
DVBI,2010,0.00
DVBI,2011,0.00
DVBI,2013,0.00
DVBI,2014,0.00
DVBI,2015,0.00
DVBI,2016,0.02
DVBI,2017,0.03
DVBI,2018,0.07
DVBI,2019,0.06
DVBI,2020,4.00
DVBI,2021,0.00
EuR,2005,0.03
EuR,2006,0.06
EuR,2007,0.04
EuR,2008,0.13
EuR,2009,0.18
EuR,2010,0.12
EuR,2011,0.12
EuR,2012,0.19
EuR,2013,0.21
EuR,2014,0.15
EuR,2015,0.21
EuR,2016,0.09
EuR,2017,0.12
EuR,2018,0.16
EuR,2019,0.08
EuR,2020,0.12
EuR,2021,0.16
EuR,2022,0.07
EuR,2023,0.60
GmbHR,2003,
GmbHR,2006,
GmbHR,2008,0.01
GmbHR,2009,0.00
GmbHR,2010,0.03
GmbHR,2011,0.01
GmbHR,2012,0.00
GmbHR,2013,0.01
GmbHR,2014,0.01
GmbHR,2015,0.01
GmbHR,2016,0.00
GmbHR,2017,0.01
GmbHR,2018,0.01
GmbHR,2019,0.00
GmbHR,2020,0.02
GmbHR,2021,0.02
JR,2000,0.06
JR,2001,0.02
JR,2002,0.00
JR,2003,0.02
JR,2004,0.02
JR,2005,0.05
JR,2006,0.07
JR,2007,0.05
JR,2008,0.02
JR,2009,0.03
JR,2010,0.04
JR,2011,0.02
JR,2012,0.02
JR,2013,0.04
JR,2014,0.03
JR,2015,0.05
JR,2016,0.10
JR,2017,0.18
JR,2018,0.11
JR,2019,0.05
JR,2020,0.06
JR,2021,0.04
JR,2022,0.05
JR,2023,0.07
JURA,2010,0.02
JURA,2011,0.01
JURA,2012,0.01
JURA,2013,0.00
JURA,2014,0.00
JURA,2015,0.02
JURA,2016,0.01
JURA,2017,0.02
JURA,2018,0.01
JURA,2019,0.00
JURA,2020,0.00
JURA,2021,0.02
JURA,2022,0.02
JURA,2023,0.04
JuS,2001,0.00
JuS,2002,0.00
JuS,2003,0.00
JuS,2005,0.00
JuS,2006,0.00
JuS,2007,0.00
JuS,2008,0.00
JuS,2009,0.00
JuS,2011,0.00
JuS,2012,0.00
JuS,2013,0.00
JuS,2014,0.00
JuS,2015,0.00
JuS,2016,0.00
JuS,2017,0.00
JuS,2018,0.00
JuS,2019,0.00
JuS,2020,0.20
JZ,2000,0.20
JZ,2001,0.00
JZ,2002,0.00
JZ,2003,0.01
JZ,2004,0.01
JZ,2005,0.01
JZ,2006,0.03
JZ,2007,0.04
JZ,2008,0.06
JZ,2009,0.06
JZ,2010,0.32
JZ,2011,0.06
JZ,2012,0.08
JZ,2013,0.09
JZ,2014,0.08
JZ,2015,0.07
JZ,2016,0.07
JZ,2017,0.05
JZ,2018,0.12
JZ,2019,0.07
JZ,2020,0.07
JZ,2021,0.06
JZ,2022,0.05
JZ,2023,0.10
KJ,2000,0.03
KJ,2001,0.03
KJ,2002,0.01
KJ,2003,0.09
KJ,2004,0.11
KJ,2005,0.37
KJ,2006,0.04
KJ,2007,0.06
KJ,2008,0.09
KJ,2009,0.07
KJ,2010,0.14
KJ,2011,0.11
KJ,2012,0.11
KJ,2013,0.07
KJ,2014,0.04
KJ,2015,0.07
KJ,2016,0.10
KJ,2017,0.12
KJ,2018,0.14
KJ,2019,0.17
KJ,2020,0.11
KJ,2021,0.08
KJ,2022,0.18
KJ,2023,1.34
KritV,2000,
KritV,2003,0.00
KritV,2004,0.02
KritV,2005,0.12
KritV,2006,0.18
KritV,2007,0.06
KritV,2008,0.06
KritV,2009,0.01
KritV,2010,0.09
KritV,2011,0.09
KritV,2012,0.04
KritV,2013,0.03
KritV,2014,0.09
KritV,2015,0.00
KritV,2016,0.09
KritV,2017,0.10
KritV,2018,0.10
KritV,2019,0.00
KritV,2020,0.00
KritV,2021,0.07
KritV,2022,0.10
KritV,2023,0.18
MDR,2005,0.00
MDR,2006,0.00
MDR,2007,0.01
MDR,2008,0.01
MDR,2009,0.00
MDR,2010,0.00
MDR,2011,0.01
MDR,2012,0.00
MDR,2013,0.01
MDR,2014,0.00
MDR,2015,0.00
MDR,2016,0.00
MDR,2017,0.00
MDR,2018,0.00
MDR,2019,0.00
MDR,2020,0.00
MDR,2021,0.00
MDR,2022,0.00
MDR,2023,0.00
NStZ,2000,0.00
NStZ,2001,0.00
NStZ,2002,0.00
NStZ,2004,0.00
NStZ,2005,0.00
NStZ,2006,0.00
NStZ,2007,0.00
NStZ,2008,0.00
NStZ,2009,0.07
NStZ,2010,0.07
NStZ,2011,0.07
NStZ,2012,0.09
NStZ,2013,0.05
NStZ,2014,0.05
NStZ,2015,0.16
NStZ,2016,0.19
NStZ,2017,0.75
NStZ,2018,0.00
NStZ,2019,1.00
NZG,2008,0.00
NZG,2009,0.01
NZG,2010,0.02
NZG,2011,0.01
NZG,2013,1.00
NZG,2014,0.00
NZG,2015,0.00
NZG,2016,0.00
NZG,2017,0.00
NZG,2018,0.00
NZG,2019,0.33
NZG,2020,2.00
RabelsZ,2000,0.00
RabelsZ,2001,0.00
RabelsZ,2002,0.04
RabelsZ,2003,0.04
RabelsZ,2004,0.10
RabelsZ,2005,0.05
RabelsZ,2006,0.04
RabelsZ,2007,0.11
RabelsZ,2008,0.05
RabelsZ,2009,0.12
RabelsZ,2010,0.14
RabelsZ,2011,0.12
RabelsZ,2012,0.24
RabelsZ,2013,0.18
RabelsZ,2014,0.10
RabelsZ,2015,0.06
RabelsZ,2016,0.08
RabelsZ,2017,0.06
RabelsZ,2018,0.10
RabelsZ,2019,0.07
RabelsZ,2020,0.09
RabelsZ,2021,0.04
RabelsZ,2022,0.05
RabelsZ,2023,0.14
RdA,2000,0.00
RdA,2001,0.00
RdA,2002,0.00
RdA,2003,0.00
RdA,2004,0.00
RdA,2005,0.00
RdA,2006,0.00
RdA,2007,0.00
RdA,2008,0.00
RdA,2009,0.00
RdA,2010,0.00
RdA,2011,0.00
RdA,2012,0.00
RdA,2013,0.00
RdA,2014,0.05
RdA,2015,0.03
RdA,2016,0.00
RdA,2017,0.00
RdA,2018,0.00
RdA,2019,0.00
RdA,2020,0.00
RdA,2021,0.00
Staat,2000,0.00
Staat,2001,0.03
Staat,2002,0.07
Staat,2003,0.06
Staat,2004,0.04
Staat,2005,0.13
Staat,2006,0.13
Staat,2007,0.08
Staat,2008,0.12
Staat,2009,0.13
Staat,2010,0.15
Staat,2011,0.28
Staat,2012,0.12
Staat,2013,0.30
Staat,2014,0.20
Staat,2015,0.22
Staat,2016,0.28
Staat,2017,0.15
Staat,2018,0.14
Staat,2019,0.20
Staat,2020,0.12
Staat,2021,0.12
Staat,2022,0.08
Staat,2023,0.31
StV,2002,
StV,2004,0.00
StV,2005,0.00
StV,2006,0.00
StV,2007,0.00
StV,2009,0.33
StV,2010,0.00
StV,2011,0.00
StV,2013,0.00
StV,2014,0.00
StV,2015,0.00
StV,2016,0.01
StV,2017,0.02
StV,2018,0.04
StV,2019,0.04
Verw,2009,0.06
Verw,2010,0.16
Verw,2011,0.04
Verw,2012,0.08
Verw,2013,0.14
Verw,2014,0.04
Verw,2015,0.10
Verw,2016,0.22
Verw,2017,0.13
Verw,2018,0.08
Verw,2019,0.07
Verw,2020,0.06
Verw,2021,0.06
Verw,2022,0.02
Verw,2023,0.24
VerwArch,2003,
VerwArch,2007,0.00
VerwArch,2008,0.00
VerwArch,2011,0.00
VerwArch,2012,0.00
VerwArch,2016,0.00
VerwArch,2017,0.02
VerwArch,2018,0.11
ZaoRV,2009,
ZaoRV,2017,
ZaoRV,2019,
ZaoRV,2021,0.00
ZaoRV,2022,0.11
ZaoRV,2023,2.94
ZFA,2006,
ZFA,2016,0.00
ZFA,2017,0.00
ZFA,2018,0.01
ZFA,2019,0.00
ZFA,2020,0.00
ZFA,2021,0.00
ZFA,2022,0.01
ZFA,2023,0.02
ZGR,2000,0.04
ZGR,2001,0.07
ZGR,2002,0.22
ZGR,2003,0.15
ZGR,2004,0.03
ZGR,2005,0.16
ZGR,2006,0.22
ZGR,2007,0.13
ZGR,2008,0.23
ZGR,2009,0.04
ZGR,2010,0.07
ZGR,2011,0.13
ZGR,2012,0.11
ZGR,2013,0.07
ZGR,2014,0.10
ZGR,2015,0.05
ZGR,2016,0.01
ZGR,2017,0.07
ZGR,2018,0.09
ZGR,2019,0.08
ZGR,2020,0.13
ZGR,2021,0.04
ZGR,2022,0.07
ZGR,2023,0.10
ZRG,2000,0.01
ZRG,2001,0.01
ZRG,2002,0.03
ZRG,2003,0.02
ZRG,2004,0.02
ZRG,2005,0.03
ZRG,2006,0.01
ZRG,2007,0.01
ZRG,2008,0.00
ZRG,2009,0.01
ZRG,2010,0.01
ZRG,2011,0.02
ZRG,2012,0.04
ZRG,2013,0.04
ZRG,2014,0.03
ZRG,2015,0.02
ZRG,2016,0.01
ZRG,2017,0.02
ZRG,2018,0.02
ZRG,2019,0.03
ZRG,2020,0.08
ZRG,2021,0.09
ZRG,2022,0.09
ZRG,2023,0.02
ZRP,2000,0.00
ZRP,2001,0.00
ZRP,2002,0.00
ZRP,2003,0.33
ZRP,2005,0.00
ZRP,2006,0.00
ZRP,2007,0.00
ZRP,2008,0.00
ZRP,2009,0.00
ZRP,2010,0.00
ZRP,2011,0.00
ZRP,2012,0.01
ZRP,2013,0.01
ZRP,2014,0.02
ZRP,2015,0.03
ZRP,2016,0.05
ZRP,2017,0.05
ZRP,2018,0.06
ZRP,2019,0.11
ZRP,2020,0.10
ZRP,2021,0.15
ZStW,2000,0.04
ZStW,2001,0.14
ZStW,2002,0.03
ZStW,2003,0.03
ZStW,2004,0.01
ZStW,2005,0.07
ZStW,2006,0.07
ZStW,2007,0.10
ZStW,2008,0.07
ZStW,2009,0.03
ZStW,2010,0.17
ZStW,2011,0.03
ZStW,2012,0.16
ZStW,2013,0.06
ZStW,2014,0.06
ZStW,2015,0.07
ZStW,2016,0.08
ZStW,2017,0.08
ZStW,2018,0.07
ZStW,2019,0.12
ZStW,2020,0.21
ZStW,2021,0.08
ZStW,2022,0.16
ZStW,2023,0.26
ZZP,2000,0.00
ZZP,2001,0.03
ZZP,2002,0.00
ZZP,2003,0.00
ZZP,2004,0.00
ZZP,2005,0.00
ZZP,2006,0.00
ZZP,2007,0.00
ZZP,2008,0.00
ZZP,2009,0.02
ZZP,2010,0.00
ZZP,2011,0.04
ZZP,2012,0.00
ZZP,2013,0.06
ZZP,2014,0.03
ZZP,2015,0.02
ZZP,2016,0.00
ZZP,2017,0.01
ZZP,2018,0.07
ZZP,2019,0.03
