"source_id","issn_l","display_name","publisher","works_count","cited_by_count","country_code","law_and_de","law_and_de_article_share","citations_per_paper","in_goldstandard","remarks"
S4210205831,"0506-7286",Verfassung in Recht und Übersee,Nomos,3888,22184,DE,411,0.11,5.71,false,
S4210229908,"1865-7192",dms – der moderne staat – Zeitschrift für Public Policy Recht und Management,Verlag Barbara Budrich,489,1909,DE,68,0.14,3.90,false,
S4210218922,"0342-5843",Zeitschrift für Verbraucherpolitik,Springer Nature,198,618,DE,29,0.15,3.12,false,
S4210217744,"0514-2776",Zeitschrift für Sozialreform,De Gruyter,548,1571,DE,53,0.10,2.87,false,
S4210174736,"0340-1758",Zeitschrift für Parlamentsfragen,Nomos,1603,4269,DE,216,0.13,2.66,false,
S4210199995,"0174-0202",Zeitschrift für Rechtssoziologie,De Gruyter,958,2244,DE,323,0.34,2.34,false,
S4210225171,"1610-7780",Zeitschrift für Staats- und Europawissenschaften,Nomos,560,1299,DE,101,0.18,2.32,false,
S4210199324,"2509-9485",Zeitschrift für Flüchtlingsforschung,Nomos,175,397,DE,20,0.11,2.27,false,
S63543247,,Elemente Der Mathematik,,221,485,,28,0.13,2.19,false,
S4210218736,"0044-3360",Zeitschrift für Politik,Nomos,696,1419,DE,73,0.10,2.04,false,
S4306529924,,Sicherheit,,271,552,,39,0.14,2.04,false,
S128114691,"0048-2129",ORDO,De Gruyter,922,1816,DE,98,0.11,1.97,false,
S4306535585,,Zeitschrift für Europäisches Privatrecht,,33,64,,15,0.45,1.94,false,
S204358660,"0038-884X",Der Staat,Duncker & Humblot,846,1611,DE,405,0.48,1.90,true,
S1024375910,"2191-3412",Zeitschrift für Europäisches Unternehmens- und Verbraucherrecht,Verlag Österreich,273,518,AT,31,0.11,1.90,false,
S4210231065,"0003-892X",Archiv des Völkerrechts,Mohr Siebeck Verlag,603,1102,DE,133,0.22,1.83,true,
S4210207308,"0023-4834",KJ / Kritische Justiz,Nomos,2853,4934,DE,715,0.25,1.73,true,
S4210170915,"0720-5120",IG,Nomos,760,1282,DE,93,0.12,1.69,false,
S4210178946,"0044-2585",Zeitschrift für die gesamte Versicherungswissenschaft,Springer Science+Business Media,1524,2505,DE,319,0.21,1.64,false,
S4306535564,,"Zeitschrift für ausländisches öfentliches Recht und Völkerrecht, ZAORV = Heidelberg Journal of International Law, HJIL",,258,398,,59,0.23,1.54,false,
S4210180565,"1611-1982",Zeitschrift für Wettbewerbsrecht,RWS Verlag GmbH,682,933,DE,313,0.46,1.37,false,
S108365452,"0033-7250",Rabels Zeitschrift für ausländisches und internationales Privatrecht,Mohr Siebeck Verlag,1480,1916,DE,574,0.39,1.29,true,
S4210204607,"0531-2485",Europarecht,Nomos,1247,1472,DE,787,0.63,1.18,true,
S4210223432,"1619-4993",Rechtsgeschichte - Legal History,Max Planck Institute for Legal History and Legal Theory,1447,1700,DE,185,0.13,1.17,false,
S4306535594,,Zeitschrift für Gesellschaftsrecht,,59,68,,11,0.19,1.15,false,
S78787406,"0003-8911",Archiv des öffentlichen Rechts,Mohr Siebeck Verlag,1042,1049,DE,576,0.55,1.01,true,
S99587756,"0034-1398",Rechtstheorie,Duncker & Humblot GmbH,699,694,DE,322,0.46,0.99,false,
S4210172945,"0034-1312",Recht der Jugend und des Bildungswesens,Nomos,896,891,DE,272,0.30,0.99,false,
S4210234159,"2193-7869",Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,Nomos,682,661,DE,217,0.32,0.97,true,
S4210238088,"0323-4096",Zeitschrift der Savigny-Stiftung für Rechtsgeschichte Romanistische Abteilung,Böhlau Verlag,6637,6351,AT,902,0.14,0.96,true,
S4210187516,"0947-9856",Verwaltung & Management,Nomos,1255,1166,DE,193,0.15,0.93,false,
S4210195736,"0044-2348",Zeitschrift für ausländisches öffentliches Recht und Völkerrecht / Heidelberg Journal of International Law,C.H. Beck,224,207,DE,29,0.13,0.92,true,
S4210228072,"0042-4498",Die Verwaltung,Duncker & Humblot,427,376,DE,82,0.19,0.88,true,
S95818940,"1614-0702",Datenschutz und Datensicherheit - DuD,Springer Science+Business Media,3954,3449,,1452,0.37,0.87,false,
S4210203378,"1868-8098",RW,Nomos,493,426,DE,237,0.48,0.86,false,
S4210221124,"0934-9200",Neue Kriminalpolitik,Nomos,1847,1567,DE,218,0.12,0.85,false,
S4306507833,,Deutsche Geflügelwirtschaft und Schweineproduktion : DGS ; mit d. offiz. Bekanntmachungen u. Mitteilungen d. Zentralverbandes der Deutschen Geflügelwirtschaft,,241,203,,33,0.14,0.84,false,
S4210192053,"1613-7663",Zeitschrift für öffentliches Recht,Verlag Osterreich GmbH,812,664,AT,278,0.34,0.82,false,
S4210167965,"1612-9229",Zeitschrift für das Privatrecht der Europäischen Union,Q2516652,1375,1115,DE,665,0.48,0.81,false,
S2764421229,"0723-1180",Rechtshistorisches Journal,,170,134,DE,39,0.23,0.79,false,
S82779185,"0003-8997",Archiv für die civilistische Praxis,Mohr Siebeck Verlag,1245,979,DE,711,0.57,0.79,true,
S4210199208,"0340-2479",Zeitschrift für Unternehmens- und Gesellschaftsrecht,De Gruyter,1928,1525,DE,661,0.34,0.79,true,
S4306507733,,Der Betrieb,,81,63,,31,0.38,0.78,false,
S3978835,"0001-2343",Archiv für Rechts- und Sozialphilosophie,Franz Steiner Verlag,944,713,DE,108,0.11,0.76,false,
S4210226342,"1435-439X",Zeitschrift für europarechtliche Studien,Nomos,775,563,DE,334,0.43,0.73,false,
S145628082,,Die Verwaltung,,30,22,,16,0.53,0.73,false,
S950333007,"0026-9301",Monatsschrift für Kriminologie und Strafrechtsreform,Carl Heymanns Verlag,6996,4888,DE,767,0.11,0.70,false,
S4210191334,"0084-5310",Zeitschrift für die gesamte Strafrechtswissenschaft,De Gruyter,4856,3172,DE,1527,0.31,0.65,true,
S4210174569,"0936-2800",Zeitschrift für Bankrecht und Bankwirtschaft,RWS Verlag,1960,1232,DE,702,0.36,0.63,false,
S4306529221,,Schweizerische Zeitschrift für internationales und europäisches Recht = Revue suisse de droit international et droit européen,,183,110,,23,0.13,0.60,false,
S4210195524,"0075-2517",Jahrbuch des öffentlichen Rechts der Gegenwart Neue Folge,Mohr Siebeck,565,336,DE,228,0.40,0.59,false,
S4210185181,"1867-5905",Wirtschaftsinformatik & Management,Springer Science+Business Media,1320,765,DE,142,0.11,0.58,false,
S25774322,"0022-6920",Juristische Rundschau,De Gruyter,14319,8292,DE,4199,0.29,0.58,true,
S4210191860,"1867-237X",Zeitschrift für geistiges Eigentum,Mohr Siebeck Verlag,518,288,DE,276,0.53,0.56,false,
S157638965,"0022-6882",JuristenZeitung,Mohr Siebeck Verlag,6688,3636,DE,2716,0.41,0.54,true,
S93689439,,Datenschutz Und Datensicherheit,,623,330,,320,0.51,0.53,false,
S4210190775,"1435-9499",Deutsches und Europäisches Familienrecht,Springer Nature,49,26,DE,16,0.33,0.53,false,
S98369295,"0723-8886",Medizinrecht,Springer Science+Business Media,6813,3519,DE,1331,0.20,0.52,false,
S4306529229,,Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht/SZW,,435,224,,123,0.28,0.51,false,
S2764900900,"1598-6128",Local Government Law Journal,Korean Local Government Law Association,658,317,KR,67,0.10,0.48,false,
S4306535866,,ZEuP : Zeitschrift für europäisches Privatrecht,,673,275,,320,0.48,0.41,false,
S113444737,"0341-1966",Kriminologisches Journal,Springer VS,1364,534,DE,137,0.10,0.39,false,
S4210239162,"2568-9185",UFITA - Archiv für Medienrecht und Medienwissenschaft,Nomos,209,80,DE,67,0.32,0.38,false,
S4210196227,"0344-7871",Recht und Politik,Duncker & Humblot,1132,413,DE,421,0.37,0.36,false,
S4210223405,"2196-7261",Zeitschrift für Didaktik der Rechtswissenschaft,Nomos,472,167,DE,226,0.48,0.35,false,
S4210223645,"1866-377X",djbZ - Zeitschrift des Deutschen Juristinnenbundes,Nomos,1528,520,DE,377,0.25,0.34,false,
S4210177729,"0323-4045",Zeitschrift der Savigny-Stiftung für Rechtsgeschichte Germanistische Abteilung,De Gruyter,13035,4274,AT,3979,0.31,0.33,true,
S4210227043,"0373-9767",Jahrbuch der Göttinger Akademie der Wissenschaften,De Gruyter,335,109,DE,35,0.10,0.33,false,
S4210223041,"2310-8843",Jahrbuch Menschenrechte,Böhlau Verlag,327,108,AT,50,0.15,0.33,false,
S4306508217,,"dms – der moderne staat – Zeitschrift für Public Policy, Recht und Management",,148,47,,35,0.24,0.32,false,
S4306534122,,Verfassungsblog: On Matters Constitutional,,1556,494,,275,0.18,0.32,false,
S2764501783,"0912-4322",Ritsumeikan law review. International ed./Ritsumeikan law review,,432,140,JP,116,0.27,0.32,false,
S1002663397,"0016-9420","GRURRR. Gewerblicher Rechtsschutz und Urheberrecht, Rechtsprechungs-Report/GRUR-DVD/GRUR-CD/IIC/Gewerblicher Rechtsschutz und Urheberrecht/Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil",,52,16,DE,27,0.52,0.31,false,
S4210194230,"0948-0218",Wissenschaftsrecht,Mohr Siebeck Verlag,515,152,DE,232,0.45,0.30,false,
S4210192237,"1863-9984",Journal der Juristischen Zeitgeschichte,De Gruyter,646,191,DE,95,0.15,0.30,false,
S4210218081,"2221-8890",Beiträge zur Rechtsgeschichte Österreichs,Verlag der Osterreichischen Akademie der Wissenschaften,440,126,AT,104,0.24,0.29,false,
S4306502847,,"Archiv für rechts-und sozialphilosophie, ARSP. Beiheft",,190,55,,33,0.17,0.29,false,
S4210187776,"0943-4011",Journal für Rechtspolitik,Verlag Osterreich GmbH,795,224,AT,397,0.50,0.28,false,
S4306502848,,"Archiv für Rechts-und Sozialphilosophie, ARSP. Beiheft",,183,51,,44,0.24,0.28,false,
S4306504202,"0340-7918",Betriebs-Berater,Deutscher Fachverlag,78,21,,37,0.47,0.27,true,
S4210237897,"0042-4501",Verwaltungsarchiv,Carl Heymanns Verlag,150,41,DE,76,0.51,0.27,true,
S2736374698,"2297-105X",sui generis,Daniel Huerlimann,273,74,CH,92,0.34,0.27,false,
S4210217558,"1664-848X",Jusletter IT,Weblaw,953,246,CH,379,0.40,0.26,false,
S2764641819,"2042-6402",Journal on European history of law,,206,54,GB,34,0.17,0.26,false,
S4210200226,"2571-8118",Global Europe – Basel Papers on Europe in a Global Perspective,University of Basel,87,23,CH,14,0.16,0.26,false,
S4210190048,"0179-1990",Computer und Recht,Q2516652,3885,1023,DE,1974,0.51,0.26,true,
S4306531231,,Study / edition der Hans-Böckler-Stiftung,,254,67,,27,0.11,0.26,false,
S4210193401,"1598-0979",Journal of Criminal Law,The Korean Criminal Law Association,484,120,KR,88,0.18,0.25,false,
S4210201404,"1439-2127",Zeitschrift für Konfliktmanagement,Q2516652,1815,460,DE,357,0.20,0.25,false,
S4306528479,,Revue suisse de droit international et the droit europeen = Schweizerische zeitschrift fur internationales und europaischees recht,,199,48,,43,0.22,0.24,false,
S4306531272,,Süddeutsche Zeitung,,130,31,DE,15,0.12,0.24,false,
S4306535602,,Zeitschrift für Japanisches Recht,,937,217,,313,0.33,0.23,false,
S60284270,"0172-1631",Natur und Recht,Springer Science+Business Media,4044,948,DE,1005,0.25,0.23,false,
S4210219809,"0014-2492",europa ethnica,Facultas Verlags- und Buchhandels AG,314,73,AT,56,0.18,0.23,false,
S4306510106,,Europaische grundrechte zeitschrift,,334,74,,236,0.71,0.22,false,
S4210207965,"2363-930X",Business Reporting,Erich Schmidt Verlag,73,16,DE,10,0.14,0.22,false,
S4210218091,"2363-6270",Recht in Afrika,Nomos,178,40,DE,30,0.17,0.22,false,
S4210226066,"1874-1681",Tijdschrift Erfrecht,Uitgeverij Boom,511,112,NL,70,0.14,0.22,false,
S4306511805,,GWP – Gesellschaft. Wirtschaft. Politik,,641,135,,102,0.16,0.21,false,
S4306510806,,forum historiae iuris,,289,61,,54,0.19,0.21,false,
S4210173382,"0030-6444",osteuropa recht,Nomos,1024,211,DE,370,0.36,0.21,false,
S4210177099,"2662-6721",Recht Innovativ,Springer Nature,81,16,DE,20,0.25,0.20,false,
S4210184097,"1864-6492",zeitschrift für menschenrechte,Wochenschau Verlag,226,46,DE,38,0.17,0.20,false,
S4210192652,"0012-1363",Deutsches Verwaltungsblatt,Carl Heymanns Verlag,1658,324,DE,651,0.39,0.20,true,
S4210197913,"1862-8702",ZCG digital/Zeitschrift für Corporate Governance,Erich Schmidt Verlag,901,170,DE,102,0.11,0.19,false,
S4210219120,"1420-2395",LeGes/Gesetzgebung heute,,105,20,CH,23,0.22,0.19,false,
S4210195811,"0944-4610",Jahrbuch für Recht und Ethik / Annual Review of Law and Ethics,Duncker & Humblot GmbH,84,16,DE,20,0.24,0.19,false,
S4306514700,,IWP Ordnungspolitischer Kommentar,,151,28,,18,0.12,0.19,false,
S4306525411,,RdJB Recht der Jugend und des Bildungswesens,,116,22,,30,0.26,0.19,false,
S4306535623,,Zeitschrift für öffentliches Recht,,111,21,,64,0.58,0.19,false,
S4210197948,"2364-1355",Rechtsphilosophie,Nomos,439,84,DE,175,0.40,0.19,false,
S4210211067,"2699-1284",RuZ - Recht und Zugang,Nomos,111,21,DE,60,0.54,0.19,false,
S4306510107,,Europaisches wirtschafts und steuerrecht,,382,74,,260,0.68,0.19,false,
S4210214821,"1867-8386","Risk, fraud & compliance",Erich Schmidt Verlag,858,166,DE,152,0.18,0.19,false,
S4210169135,"1617-5395",Internationales Handelsrecht,Q2516652,1804,342,DE,741,0.41,0.19,false,
S4210225961,"1664-2449",Germanistik in der Schweiz,,192,35,CH,19,0.10,0.18,false,
S4306510108,,"Europaische zeitschrift für wirtschatsrecht, EUZW",,863,156,,555,0.64,0.18,false,
S4210230636,"1869-6899",Jahrbuch der Juristischen Zeitgeschichte,De Gruyter,254,45,DE,65,0.26,0.18,false,
S2764601581,,Public Land and Resources Law Review,University of Montana School of Law,2112,350,,230,0.11,0.17,false,
S4210175950,"0044-2690",Zeitschrift für evangelisches Kirchenrecht,Mohr Siebeck Verlag,687,116,DE,196,0.29,0.17,false,
S4306536198,,ZHR : Zeitschrift für das gesamte handelsrecht und wirtschaftsrecht,,116,20,,36,0.31,0.17,false,
S4210180091,"2708-9649",Nachhaltigkeits Recht,Verlag Osterreich GmbH,277,46,AT,99,0.36,0.17,false,
S4306520736,,Neue Juristische Wochenschrift: NJW,,5252,849,,2917,0.56,0.16,false,
S4210230030,"2191-0073",Technische Sicherheit,VDI Fachmedien,547,87,DE,61,0.11,0.16,false,
S4210226028,"0720-1605",Strafverteidiger,Luchterhand Fachverlag,560,92,DE,122,0.22,0.16,true,
S2765000193,"1598-558X",CHUNG_ANG LAW REVIEW,Chung-Ang Law Association,767,119,KR,73,0.10,0.16,false,
S4306520743,"1434-9272",NZG. Neue Zeitschrift für Gesellschaftsrecht,,456,74,,187,0.41,0.16,true,
S4306535548,,"Zeitschrift für Abgaben-, Finanz- und Steuerrecht",,392,62,,105,0.27,0.16,false,
S4306535636,"0514-6496",Zeitschrift für Rechtspolitik,C.H. Beck,588,88,DE,277,0.47,0.15,true,
S4210210319,"0949-2100",AfP,Q2516652,1324,205,DE,486,0.37,0.15,false,
S4210181415,"1869-3679",Kölner Schrift zum Wirtschaftsrecht,Q2516652,408,62,DE,127,0.31,0.15,false,
S4210223612,"0948-3616",Innovative Verwaltung,Springer Science+Business Media,613,89,DE,94,0.15,0.15,false,
S16413858,"0023-4699",Kriminalistik,,176,26,DE,19,0.11,0.15,false,
S4210196997,"1664-011X",XVIII.ch,,154,22,CH,16,0.10,0.14,false,
S2736823487,"2409-6911",Austrian law journal,"Brigitte Lurger, Elisabeth Staudegger, Stefan Storr",56,8,AT,35,0.63,0.14,false,
S4306536199,,ZHR : Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,,281,39,,103,0.37,0.14,false,
S4210174170,"2701-7591",Zeitschrift für Risikomanagement,Erich Schmidt Verlag,105,15,DE,12,0.11,0.14,false,
S4210225192,"1598-091X",Korean Journal of Comparative Criminal Law,Korean Journal of Comparative Criminal Law,832,119,KR,109,0.13,0.14,false,
S4306520745,"0720-1753",Neue Zeitschrift für Strafrecht,C.H. Beck,444,63,,226,0.51,0.14,true,
S2764365625,,RWI Projektberichte,,243,31,,25,0.10,0.13,false,
S4210182874,"1437-2355",KUR - Kunst und Recht,Schleuen Verlag,600,75,DE,128,0.21,0.13,false,
S4306535011,,WUW : Wirtschaft und wettbewerb = Concurrence et marché = Competition and trade regulation,,767,102,,517,0.67,0.13,false,
S4210240061,"0170-1452",JURA - Juristische Ausbildung,De Gruyter,3963,470,DE,1805,0.46,0.12,true,
S4306508001,,Die offentliche verwaltung,,458,53,,286,0.62,0.12,false,
S4210175340,"1431-9985","Innovative Verwaltung/VOP. Verwaltung, Organisation, Personal",Springer Gabler,3179,385,DE,414,0.13,0.12,false,
S4210196136,"1430-9262",Immissionsschutz digital/Immissionsschutz,Erich Schmidt Verlag,470,57,DE,47,0.10,0.12,false,
S4210176706,"0342-3468",Zeitschrift für Zivilprozess,Carl Heymanns Verlag,483,58,DE,325,0.67,0.12,true,
S4210187269,"1615-5335",JurPC,Recht Fuer Deutschland,6454,783,DE,909,0.14,0.12,false,
S4210186079,"2383-8108",Journal of Constitutional Justice,Constitutional Research Institute,84,10,KR,15,0.18,0.12,false,
S4210233250,"1865-7222",UbG - Die Unternehmensbesteuerung,Q2516652,2126,230,DE,427,0.20,0.11,false,
S4210186192,"1019-5394",Zeitschrift für kritik - recht - gesellschaft,Verlag Osterreich GmbH,799,91,AT,264,0.33,0.11,false,
S4210218497,"2625-1868",Zeitschrift für das gesamte Verfahrensrecht – GVRZ,Q2516652,185,18,DE,109,0.59,0.10,false,
