,abbreviation,title,url
0,JuS,Juristische Schulung & JuSDirekt - Zeitschrift für Studium und Referendariat,http://www.beck-shop.de/JuS-Juristische-Schulung-JuSDirekt/productview.aspx?product=1333&toc=362
1,JW,Neue Juristische Wochenschrift & NJWDirekt,http://www.beck-shop.de/NJW-Neue-Juristische-Wochenschrift-NJWDirekt/productview.aspx?product=1318&toc=362
2,DStR,Deutsches Steuerrecht,http://www.beck-shop.de/DStR-Deutsches-Steuerrecht/productview.aspx?product=14989&toc=362
3,RZ,Zeitschrift für Bilanzierung und Rechnungswesen,http://www.beck-shop.de/BRZ-Zeitschrift-Bilanzierung-Rechnungswesen/productview.aspx?product=27128&toc=362
4,ZA,Neue Zeitschrift für Arbeitsrecht,http://www.beck-shop.de/NZA-Neue-Zeitschrift-Arbeitsrecht/productview.aspx?product=1359&toc=362
5,StZ,Neue Zeitschrift für Strafrecht,http://www.beck-shop.de/NStZ-Neue-Zeitschrift-Strafrecht/productview.aspx?product=1342&toc=362
6,ArbR,Arbeitsrecht Aktuell,http://www.beck-shop.de/ArbR-Arbeitsrecht-Aktuell/productview.aspx?product=29346&toc=362
7,SteuK,Steuerrecht kurzgefaßt,http://www.beck-shop.de/SteuK-Steuerrecht-kurzgefa%C3%9Ft/productview.aspx?product=29454&toc=362
8,GUR-Prax,Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,http://www.beck-shop.de/GRUR-Prax/productview.aspx?product=30753&toc=362
9,ZWE,Zeitschrift für Wohnungseigentumsrecht,http://www.beck-shop.de/ZWE-Zeitschrift-Wohnungseigentumsrecht/productview.aspx?product=30752&toc=362
10,,Verbraucherinsolvenz aktuell,http://www.beck-shop.de/Verbraucherinsolvenz-aktuell/productview.aspx?product=30667&toc=362
11,BKR,Zeitschrift für Bank- und Kapitalmarktrecht,http://www.beck-shop.de/BKR-Zeitschrift-Bank-Kapitalmarktrecht/productview.aspx?product=4212&toc=362
12,RAK,Magazin,http://www.brak-mitteilungen.de/brak_magazin.htm
13,ZfBR,Zeitschrift für deutsches und internationales Bau- und Vergaberecht,http://www.beck-shop.de/ZfBR-Zeitschrift-deutsches-internationales-Bau-Vergaberecht/productview.aspx?product=28578&toc=362
14,FamFR,Familienrecht und Familienverfahrensrecht,http://www.beck-shop.de/Schulz-Hauss-Kemper-Schreiber-Hrsg-Familienrecht-Familienverfahrensrecht-Set/productview.aspx?product=8962388
15,GWR,Gesellschafts- und Wirtschaftsrecht,http://www.beck-shop.de/GWR-Gesellschafts-Wirtschaftsrecht/productview.aspx?product=27886&toc=362
16,FamRZ,Zeitschrift für das gesamte Familienrecht,http://www.beck-shop.de/FamRZ-Zeitschrift-gesamte-Familienrecht/productview.aspx?product=9247&toc=362
17,Die Aktiengesellschaft,AG,http://www.beck-shop.de/Aktiengesellschaft-AG/productview.aspx?product=22099&toc=362
18,,Der Arbeits-Rechts-Berater,http://www.beck-shop.de/Arbeits-Rechts-Berater/productview.aspx?product=11540&toc=362
19,Baurecht,BauR,http://www.beck-shop.de/baurecht-BauR/productview.aspx?product=19268&toc=362
20,,Der Betrieb,http://www.beck-shop.de/Betrieb/productview.aspx?product=11286&toc=362
21,Betriebs-Berater,BB - Zeitschrift für Recht und Wirtschaft,http://www.beck-shop.de/Betriebs-Berater-BB/productview.aspx?product=9311&toc=362
22,Computer und Recht,CR,http://www.beck-shop.de/Computer-Recht-CR/productview.aspx?product=11113&toc=362
23,AbfallR,Zeitschrift für das Recht der Abfallwirtschaft,http://www.lexxion.de/de/zeitschriften/fachzeitschriften-deutsch/abfallr.html
24,AE,Arbeitsrechtliche Entscheidungen,http://www.beck-shop.de/AE-Arbeitsrechtliche-Entscheidungen/productview.aspx?product=31371&toc=362
25,,Agrar- und Umweltrecht,http://www.aur-net.de/
26,AGS,Anwaltsgebühren spezial,http://www.anwaltverlag.de/epages/DAV.storefront/4b8507ee0bfda8a2271cc2e7b937071d/Product/View/z23806300&2D2
27,ASR,Anwalt / Anwältin im Sozialrecht,http://www.beck-shop.de/ASR-Anwalt-Anw%C3%A4ltin-Sozialrecht/productview.aspx?product=31366&toc=362
28,AuR,Arbeit und Recht Deutsches und Europäisches Arbeitsrecht,http://www.aib-verlag.de/de/zeitschriften/arbeit-und-recht/index.php
29,Breithaupt,Entscheidungen aus dem Sozialrecht,http://www.boorberg.de/sixcms/detail.php?template=vis_suche_d&query=vis_werke_q&sv%5Bvis_vt%5D=breithaupt
30,Fachanwalt Arbeitsrecht,FA,http://www.beck-shop.de/Fachanwalt-Arbeitsrecht-FA/productview.aspx?product=13495&toc=362
31,FF,Forum Familienrecht,http://www.beck-shop.de/FF-Forum-Familienrecht/productview.aspx?product=31365&toc=362
32,FoVo,Forderung und Vollstreckung,http://www.anwaltverlag.de/epages/DAV.storefront/4b8507ee0bfda8a2271cc2e7b937071d/Product/View/1036&2D1
33,,Der GmbH-Steuer-Berater,http://www.beck-shop.de/GmbH-Steuer-Berater/productview.aspx?product=22100&toc=362
34,EurUP,Zeitschrift für Europäisches Umwelt- und Planungsrecht,http://www.lexxion.de/eurup-home
35,Immobilien- & Baurecht ,IBR,http://www.beck-shop.de/Immobilien-Baurecht-IBR/productview.aspx?product=17733&toc=362
36,JURA,Juristische Ausbildung,http://www.beck-shop.de/JURA-Juristische-Ausbildung/productview.aspx?product=22127&toc=362
37,JuristenZeitung,JZ,http://www.beck-shop.de/JuristenZeitung-JZ/productview.aspx?product=22095&toc=362
38,KammerForum,Mitteilungen der Rechtsanwaltskammer Köln,http://www.beck-shop.de/KammerForum/productview.aspx?product=20264&toc=362
39,Monatsschrift für Deutsches Recht,MDR - Zeitschrift für die Zivilrechts-Praxis,http://www.beck-shop.de/Monatsschrift-Deutsches-Recht-MDR/productview.aspx?product=19171&toc=362
40,Nomos Rechtsprechungsübersicht,NRÜ,http://www.beck-shop.de/NomosRechtsprechungs%C3%BCbersicht-NR%C3%9C/productview.aspx?product=24301&toc=362
41,SpV,Spektrum für Versicherungsrecht,http://www.beck-shop.de/SpV-Spektrum-Versicherungsrecht/productview.aspx?product=31367&toc=362
42,StraFo,Strafverteidiger Forum,http://www.beck-shop.de/StraFo-Strafverteidiger-Forum/productview.aspx?product=18163&toc=362
43,StRR,StrafRechtsReport,http://www.beck-shop.de/NStZ-Neue-Zeitschrift-Strafrecht-NStZ-RR-Rechtsprechungs-Report-Strafrecht/productview.aspx?product=16393734
44,Strafverteidiger,StV,http://www.beck-shop.de/Strafverteidiger-StV/productview.aspx?product=11068&toc=362
45,STUD,JUR. - Karriere im Recht,http://www.beck-shop.de/STUD-JUR-Karriere-Recht/productview.aspx?product=30369&toc=362
46,StoffR,Zeitschrift für Stoffrecht,http://www.lexxion.de/stoffr-home
47,Der Verkehrsanwalt,VerkA,http://www.beck-shop.de/Verkehrsanwalt-VerkA/productview.aspx?product=31369&toc=362
48,Versicherungsrecht,VersR,http://www.beck-shop.de/Versicherungsrecht-VersR/productview.aspx?product=17656&toc=362
49,Wertpapier-Mitteilungen,WM IV - Zeitschrift für Wirtschafts- und Bankrecht,http://www.beck-shop.de/Wertpapier-Mitteilungen-WM/productview.aspx?product=23646&toc=362
50,ZAP,Zeitschrift für die Anwaltpraxis,http://www.beck-shop.de/ZAP-Zeitschrift-Anwaltpraxis/productview.aspx?product=22094&toc=362
51,zfs,Zeitschrift für Schadensrecht,http://www.beck-shop.de/zfs-Zeitschrift-Schadensrecht/productview.aspx?product=22096&toc=362
52,ZInsO,Zeitschrift für das gesamte Insolvenzrecht,http://www.beck-shop.de/ZInsO-Zeitschrift-gesamte-Insolvenzrecht/productview.aspx?product=15222&toc=362
53,ZMGR,Zeitschrift für das gesamte Medizin- und Gesundheitsrecht,http://www.beck-shop.de/ZMGR-Zeitschrift-gesamte-Medizin-Gesundheitsrecht/productview.aspx?product=31370&toc=362
54,ZInsO,Zeitschrift für das gesamte Insolvenzrecht • CD-Archiv,http://www.beck-shop.de/ZInsO-Zeitschrift-gesamte-Insolvenzrecht-CD-Archiv/productview.aspx?product=31362&toc=362
55,Zeitschrift für Miet- und Raumrecht,ZMR,http://www.beck-shop.de/Zeitschrift-Miet-Raumrecht-ZMR/productview.aspx?product=17605&toc=362
56,ZNotP,Zeitschrift für die Notarpraxis,http://www.beck-shop.de/ZNotP-Zeitschrift-Notarpraxis/productview.aspx?product=25427&toc=362
57,NZV,Neue Zeitschrift für Verkehrsrecht,http://www.beck-shop.de/NZV-Neue-Zeitschrift-Verkehrsrecht/productview.aspx?product=1336&toc=362
58,EuZA,Europäische Zeitschrift für Arbeitsrecht,http://www.beck-shop.de/EuZA-Europ%C3%A4ische-Zeitschrift-Arbeitsrecht/productview.aspx?product=22773&toc=362
59,,Rechtsdepesche für das Gesundheitswesen,http://www.beck-shop.de/Rechtsdepesche-Gesundheitswesen/productview.aspx?product=22612&toc=362
60,GRUR,Gewerblicher Rechtsschutz und Urheberrecht,http://www.beck-shop.de/GRUR-Gewerblicher-Rechtsschutz-Urheberrecht/productview.aspx?product=2711&toc=362
61,NZM,Neue Zeitschrift für Miet- und Wohnungsrecht,http://www.beck-shop.de/NZM-Neue-Zeitschrift-Miet-Wohnungsrecht/productview.aspx?product=1582&toc=362
62,Myops,Berichte aus der Welt des Rechts,http://www.beck-shop.de/myops/productview.aspx?product=22280&toc=362
63,iStR,Internationales Steuerrecht,http://www.beck-shop.de/iStR-Internationales-Steuerrecht/productview.aspx?product=1368&toc=362
64,NZS,Neue Zeitschrift für Sozialrecht,http://www.beck-shop.de/NZS-Neue-Zeitschrift-Sozialrecht/productview.aspx?product=1361&toc=362
65,ZEV,Zeitschrift für Erbrecht und Vermögensnachfolge,http://www.beck-shop.de/ZEV-Zeitschrift-Erbrecht-Verm%C3%B6gensnachfolge/productview.aspx?product=1341&toc=362
66,MMR,MultiMedia und Recht,http://www.beck-shop.de/MMR-MultiMedia-Recht/productview.aspx?product=1584&toc=362
67,NZI,Neue Zeitschrift für das Recht der Insolvenz und Sanierung,http://www.beck-shop.de/NZI-Neue-Zeitschrift-Recht-Insolvenz-Sanierung/productview.aspx?product=1946&toc=362
68,SpuRt,Zeitschrift für Sport und Recht,http://www.beck-shop.de/SpuRt-Zeitschrift-Sport-Recht/productview.aspx?product=1339&toc=362
69,NVwZ,Neue Zeitschrift für Verwaltungsrecht,http://www.beck-shop.de/NVwZ-Neue-Zeitschrift-Verwaltungsrecht/productview.aspx?product=5131&toc=362
70,NZG,Neue Zeitschrift für Gesellschaftsrecht,http://www.beck-shop.de/NZG-Neue-Zeitschrift-Gesellschaftsrecht/productview.aspx?product=1340&toc=362
71,,Der Sachverständige,http://www.beck-shop.de/Sachverst%C3%A4ndige/productview.aspx?product=9543&toc=362
72,NZA-RR,NZA-Rechtsprechungs-Report Arbeitsrecht,http://www.beck-shop.de/NZA-RR-NZA-Rechtsprechungs-Report-Arbeitsrecht/productview.aspx?product=1360&toc=362
73,r+s,recht und schaden,http://www.beck-shop.de/rs-recht-schaden/productview.aspx?product=10838&toc=362
74,EuZW,Europäische Zeitschrift für Wirtschaftsrecht,http://www.beck-shop.de/EuZW-Europ%C3%A4ische-Zeitschrift-Wirtschaftsrecht/productview.aspx?product=1373&toc=362
75,NStZ-RR,NStZ-Rechtsprechungs-Report Strafrecht,http://www.beck-shop.de/NStZ-RR-NStZ-Rechtsprechungs-Report-Strafrecht/productview.aspx?product=1337&toc=362
76,,Schnellbrief für Personalwirtschaft und Arbeitsrecht,http://www.beck-shop.de/schnellbrief-Personalwirtschaft-Arbeitsrecht/productview.aspx?product=1363&toc=362
77,NZBau,Neue Zeitschrift für Baurecht und Vergaberecht,http://www.beck-shop.de/NZBau-Neue-Zeitschrift-Baurecht-Vergaberecht/productview.aspx?product=2367&toc=362
78,NJW-RR,NJW-Rechtsprechungs-Report Zivilrecht,http://www.beck-shop.de/NJW-RR-NJW-Rechtsprechungs-Report-Zivilrecht/productview.aspx?product=1328&toc=362
79,FPR,"Familie, Partnerschaft, Recht",http://www.beck-shop.de/FPR-Heft-4_2013-Aktuelles-nationalen-Unterhalts-Verfahrensrecht/productview.aspx?product=11961799
80,DNotZ,Deutsche Notar-Zeitschrift,http://www.beck-shop.de/DNotZ-Deutsche-Notar-Zeitschrift/productview.aspx?product=1371&toc=362
81,IR,InfrastrukturRecht,http://www.beck-shop.de/IR-InfrastrukturRecht/productview.aspx?product=9391&toc=362
82,GRUR-RR,Gewerblicher Rechtsschutz und Urheberrecht Rechtsprechungs-Report,http://www.beck-shop.de/GRUR-RR-Gewerblicher-Rechtsschutz-Urheberrecht-Rechtsprechungs-Report/productview.aspx?product=346&toc=362
83,NVwZ,Neue Zeitschrift für Verwaltungsrecht - mit NVwZ-RR,http://www.beck-shop.de/NVwZ-Neue-Zeitschrift-Verwaltungsrecht-NVwZ-RR/productview.aspx?product=1343&toc=362
84,GRUR,Gewerblicher Rechtsschutz und Urheberrecht - mit GRUR International,http://www.beck-shop.de/GRUR-Gewerblicher-Rechtsschutz-Urheberrecht-GRUR-International/productview.aspx?product=2714&toc=362
85,ZEuP,Zeitschrift für Europäisches Privatrecht,http://www.beck-shop.de/ZEuP-Zeitschrift-Europ%C3%A4isches-Privatrecht/productview.aspx?product=1378&toc=362
86,RdA,Recht der Arbeit,http://www.beck-shop.de/RdA-Recht-Arbeit/productview.aspx?product=1362&toc=362
87,WiRO,Wirtschaft und Recht in Osteuropa,http://www.beck-shop.de/WiRO-Wirtschaft-Recht-Osteuropa/productview.aspx?product=1374&toc=362
88,IIC,International Review of Intellectual Property and Competition Law,http://www.beck-shop.de/IIC-International-Review-of-Intellectual-Property-Competition-Law/productview.aspx?product=347&toc=362
89,NVwZ-RR,NVwZ-Rechtsprechungs-Report Verwaltungsrecht,http://www.beck-shop.de/NVwZ-RR-NVwZ-Rechtsprechungs-Report-Verwaltungsrecht/productview.aspx?product=1344&toc=362
90,GRUR,Gewerblicher Rechtsschutz und Urheberrecht - mit GRUR International und GRUR-RR,http://www.beck-shop.de/GRUR-Gewerblicher-Rechtsschutz-Urheberrecht-GRUR-International-GRUR-RR/productview.aspx?product=2736&toc=362
91,GRUR Int,Gewerblicher Rechtsschutz und Urheberrecht Internationaler Teil,http://www.beck-shop.de/GRUR-Int-Gewerblicher-Rechtsschutz-Urheberrecht-Internationaler-Teil/productview.aspx?product=2737&toc=362
92,LMuR,Lebensmittel & Recht (LMuR),http://www.beck-shop.de/Lebensmittel-Recht-LMuR/productview.aspx?product=20203&toc=362
93,ZRP,Zeitschrift für Rechtspolitik,http://www.beck-shop.de/ZRP-Zeitschrift-Rechtspolitik/productview.aspx?product=1326&toc=362
94,SchiedsVZ,Zeitschrift für Schiedsverfahren,http://www.beck-shop.de/SchiedsVZ-Zeitschrift-Schiedsverfahren/productview.aspx?product=7892&toc=362
95,FGPrax,Praxis der Freiwilligen Gerichtsbarkeit,http://www.beck-shop.de/FGPrax-Praxis-Freiwilligen-Gerichtsbarkeit/productview.aspx?product=1377&toc=362
96,AP,Nachschlagewerk des Bundesarbeitsgerichts - Arbeitsrechtliche Praxis,http://www.beck-shop.de/AP-Nachschlagewerk-Bundesarbeitsgerichts-Arbeitsrechtliche-Praxis/productview.aspx?product=1395&toc=362
97,KJB,Karlsruher Juristische Bibliographie,http://www.beck-shop.de/KJB-Karlsruher-Juristische-Bibliographie/productview.aspx?product=1332&toc=362
98,JOR,Jahrbuch für Ostrecht,http://www.beck-shop.de/JOR-Jahrbuch-Ostrecht/productview.aspx?product=1375&toc=362
99,MedR,Medizinrecht,http://www.beck-shop.de/MedR-Medizinrecht/productview.aspx?product=1338&toc=362
100,Zeitschrift des Deutschen Juristinnenbundes,DjbZ (Zeitschrift des Deutschen Juristinnenbundes),http://www.nomos-shop.de/productview.aspx?product=10331
101,EuR,Europarecht (EuR),http://www.nomos-shop.de/productview.aspx?product=10371
102,info also,Informationen zum Arbeitslosenrecht und Sozialhilferecht (info also),http://www.nomos-shop.de/productview.aspx?product=10372
103,JMS,Jugend Medien Schutz-Report (JMS),http://www.nomos-shop.de/productview.aspx?product=10373
104,KHR,Krankenhaus Recht (KHR),http://www.nomos-shop.de/productview.aspx?product=10257
105,KommJur,Kommunaljurist (KommJur),http://www.nomos-shop.de/productview.aspx?product=10395
106,KJ,Kritische Justiz (KJ),http://www.nomos-shop.de/productview.aspx?product=10376
107,KritV,Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft (KritV),http://www.nomos-shop.de/productview.aspx?product=10377
108,Zeitschrift für Landes- und Kommunalrecht Hessen I Rheinland-Pfalz I Saarland,LKRZ (Zeitschrift für Landes- und Kommunalrecht Hessen I Rheinland-Pfalz I Saarland),http://www.nomos-shop.de/productview.aspx?product=10388
109,LKV,Landes- und Kommunalverwaltung (LKV),http://www.nomos-shop.de/productview.aspx?product=10390
110,MPR,Medizin Produkte Recht (MPR),http://www.nomos-shop.de/productview.aspx?product=10258
111,NK,Neue Kriminalpolitik (NK),http://www.nomos-shop.de/productview.aspx?product=10354
112,NJ,Neue Justiz (NJ),http://www.nomos-shop.de/productview.aspx?product=10378
113,NordÖR,Zeitschrift für Öffentliches Recht in Norddeutschland (NordÖR),http://www.nomos-shop.de/productview.aspx?product=10380
114,,Rechtswissenschaft,http://www.rechtswissenschaft.nomos.de/
115,,Sozialrecht aktuell,http://www.nomos-shop.de/productview.aspx?product=10382
116,SVR,Straßenverkehrsrecht (SVR),http://www.nomos-shop.de/productview.aspx?product=10340
117,VuR,Verbraucher und Recht (VuR),http://www.nomos-shop.de/productview.aspx?product=10389
118,VRÜ,Verfassung und Recht in Übersee (VRÜ),http://www.nomos-shop.de/productview.aspx?product=10387
119,,Verwaltung & Management (VM):,http://www.nomos-shop.de/productview.aspx?product=10396
120,ZAR,Zeitschrift für Ausländerrecht und Ausländerpolitik (ZAR),http://www.nomos-shop.de/productview.aspx?product=10393
121,ZSE,Zeitschrift für Staats- und Europawissenschaften (ZSE),http://www.nomos-shop.de/productview.aspx?product=10362
122,ZUR,Zeitschrift für Umweltrecht:,http://www.nomos-shop.de/productview.aspx?product=10394
123,ZUM,Zeitschrift für Urheber- und Medienrecht,http://www.nomos-shop.de/productview.aspx?product=10386
124,,ZUM-RD Rechtsprechungsdienst,http://www.nomos-shop.de/productview.aspx?product=10385
125,,Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,http://www.degruyter.de/journals/dzwir/detail.cfm?sel=pi
126,ECFR,European Company and Financial Law Review,http://www.degruyter.de/journals/ecfr/detail.cfm
127,ERCL,European Review of Contract Law,http://www.degruyter.de/journals/ercl/detail.cfm
128,JIBL,Journal of International Biotechnology Law,http://www.degruyter.de/journals/jibl/detail.cfm
129,JETL,Journal of European Tort Law (JETL),http://www.degruyter.de/journals/jetl/detail.cfm
130,,Journal der Juristischen Zeitgeschichte,http://www.degruyter.de/journals/jjz/detail.cfm
131,JURA,Juristische Ausbildung,http://www.degruyter.de/journals/jura/detail.cfm
132,,Juristische Rundschau,http://www.degruyter.de/journals/jr/detail.cfm
133,ZStW,Zeitschrift für die gesamte Strafrechtswissenschaft (ZStW),http://www.degruyter.de/journals/zstw/detail.cfm
134,ZGR,Zeitschrift für Unternehmens- und Gesellschaftsrecht (ZGR),http://www.degruyter.de/journals/zgr/detail.cfm
135,,Betriebs-Berater,http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=112
136,wrp,Wettbewerb in Recht und Praxis,http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=90
137,RIW,Recht der Internationalen Wirtschaft (RIW),http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=115
138,EWS,Europäisches Wirtschafts- und Steuerrecht (EWS),http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=113
139,K&R,Kommunikation & Recht (K&R),http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=116
140,N&R,Netzwirtschaften und Recht,http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=124
141,ZHR,Zeitschrift für das gesamte Handels- und Wirtschaftsrecht (ZHR),http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=117
142,ZVglRWiss,Zeitschrift für Vergleichende Rechtswissenschaft (ZVglRWiss),http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=118
143,ZLR,Zeitschrift für das gesamte Lebensmittelrecht,http://www.dfv.de/verlagsprogramm/publikationen/pages/show.php?currPage=1&currChar=&params=keyword%3D%26amp%3Ball%3D1%26amp%3Bbranche%3D12%26amp%3Bart%3D1%26amp%3Bland%3D1&id=97
144,DPJZ,Deutsch-Polnischen Juristen-Zeitschrift (DPJZ),http://www.bwv-verlag.de/dpjz.htm
145,RdJB,Recht der Jugend und des Bildungswesens,http://www.bwv-verlag.de/rdjb.htm
146,RuP,Recht und Politik (RuP),http://www.bwv-verlag.de/rup.htm
147,,Osteuropa-Recht,http://www.bwv-verlag.de/oer.htm
148,,Recht & Psychiatrie,http://verlag.psychiatrie.de/zeitschriften/rp/
149,,Baurechtliche Blätter,http://www.springer.com/springerwiennewyork/law/journal/738
150,,Juristische Blätter,http://www.springer.com/springerwiennewyork/law/journal/503
151,,Journal für Rechtspolitik,http://www.springer.com/springerwiennewyork/law/journal/730
152,,Zeitschrift für öffentliches Recht,http://www.springer.com/springerwiennewyork/law/journal/708
153,"Zeitschrift für Hochschulrecht, Hochschulmanagement und Hochschulpolitik",zfhr,http://www.springer.com/springerwiennewyork/law/journal/741
154,,Baurechtliche Blätter,http://www.springer.com/springerwiennewyork/law/journal/738
155,,Medizinrecht,http://www.springer.com/law/journal/350
156,,Natur und Recht,http://www.springer.com/law/journal/10357
157,,Wohnrechtliche Blätter,http://www.springer.com/springerwiennewyork/law/journal/719
